lat, long, problem, incidencia, anio, mes, dia, ciclo, prec, tmax, tmin,tpro,velv, dirv,humr, dpoint, tmidnight
27.34440041,-109.9343567,Roya Lineal,0.01,2014,3,17,Ciclo 2013-2014,0.0,28.873,10.737,18.864,6.241630000000002,309.96953,30.4142,1.033680503021671,18.136000000000003
27.26371574,-109.8471375,Roya Lineal,0.01,2014,2,20,Ciclo 2013-2014,0.0,27.786,14.767,20.052,2.30557,37.89133,46.7154,8.250034881460607,13.019000000000002
27.22597122,-109.8559723,Roya Lineal,0.01,2014,2,27,Ciclo 2013-2014,0.0,27.727,12.901,19.0616,6.98013,312.1867200000001,59.7521,11.009703255090784,14.826
27.19866753,-109.8906479,Roya Lineal,0.04,2014,2,4,Ciclo 2013-2014,0.0,21.319000000000006,8.175,14.0539,5.9943800000000005,340.75799,62.9675,7.051249738752489,13.144000000000005
27.47404099,-110.1166687,Roya Lineal,0.01,2014,3,4,Ciclo 2013-2014,0.0,27.244,12.558,18.7576,6.22889,273.46531,63.5817,11.664810516998074,14.686
27.53913498,-109.9816132,Roya Lineal,0.02,2014,3,3,Ciclo 2013-2014,0.0,27.795,14.329,20.4443,9.92772,294.88458,51.0133,9.921904723532748,13.466000000000001
27.44616508,-110.0085068,Roya Lineal,0.01,2014,3,5,Ciclo 2013-2014,0.0,27.487,13.85,19.6473,2.41248,271.14006,51.9479,9.453642381871305,13.636999999999999
27.4419632,-110.0156555,Roya Lineal,0.02,2014,2,25,Ciclo 2013-2014,0.031,26.406,15.858,20.4986,6.19163,293.09288,63.5821,13.319675819346358,10.547999999999998
27.44543076,-110.1793747,Roya Lineal,0.01,2014,3,4,Ciclo 2013-2014,0.0,27.246,12.601,18.9235,7.82182,283.84703,64.2575,11.983742225940063,14.644999999999998
27.24565315,-109.7632217,Roya Lineal,0.01,2014,2,26,Ciclo 2013-2014,0.145,27.702,15.556,21.2323,10.31534,298.75276,61.9029,13.603227267027393,12.146000000000003
27.12684822,-109.773056,Roya Lineal,0.01,2014,3,5,Ciclo 2013-2014,0.0,26.215,12.483,18.5758,4.36393,297.73653,63.8437,11.554554513368188,13.732
27.17297935,-109.8212967,Roya Lineal,0.01,2014,3,5,Ciclo 2013-2014,0.0,26.862,13.313,19.0154,3.08551,306.75848,58.2787,10.588847100587614,13.548999999999998
27.20516586,-109.8308868,Roya Lineal,0.01,2014,3,5,Ciclo 2013-2014,0.0,26.862,13.313,19.0154,3.08551,306.75848,58.2787,10.588847100587614,13.548999999999998
27.23811913,-109.7838898,Roya Lineal,0.02,2014,3,19,Ciclo 2013-2014,0.0,27.486,15.769,20.1289,4.76999,122.46566,60.0246,12.08653054505207,11.717
27.24871063,-109.9943924,Roya Lineal,0.03,2014,3,4,Ciclo 2013-2014,0.0,26.477,12.31,18.5256,5.86331,285.26283,69.6012,12.826943083956323,14.167
27.25335693,-110.1326294,Roya Lineal,0.01,2014,2,25,Ciclo 2013-2014,0.038,26.28,16.547,20.7197,7.544689999999999,304.76432,68.8675,14.768296054656048,9.733
27.23604012,-110.0158844,Roya Lineal,0.01,2014,3,4,Ciclo 2013-2014,0.0,26.618,12.452,18.8128,8.00808,290.64146,71.0337,13.416888072927804,14.165999999999999
27.29873085,-110.0553513,Roya Lineal,0.02,2014,2,24,Ciclo 2013-2014,0.0,27.79,13.306,19.7089,1.30578,321.15517,64.9904,12.905277966995826,14.484
27.21675682,-110.0630569,Roya Lineal,0.01,2014,3,6,Ciclo 2013-2014,0.0,28.419,13.503,20.2454,5.37476,286.42203,61.4637,12.55890280319521,14.916
27.46354866,-109.9788361,Roya Lineal,0.03,2014,3,17,Ciclo 2013-2014,0.0,28.817,11.2,19.3115,5.49265,312.35473,27.7933,0.17664101087380857,17.617
27.42824173,-109.9811096,Roya Lineal,0.1,2014,2,17,Ciclo 2013-2014,0.0,30.443,16.375,21.980999999999998,1.35114,339.19083,38.0079,6.971330415349243,14.068000000000001
27.42778778,-109.9577179,Roya Lineal,0.02,2014,3,24,Ciclo 2013-2014,0.0,31.529,16.892,22.8836,6.22398,316.50384,34.2812,6.275525621582744,14.637
27.35835648,-109.9731369,Roya Lineal,0.03,2014,3,27,Ciclo 2013-2014,0.0,27.583,14.625,19.9354,2.4854700000000003,279.55328,53.0958,10.048912641921632,12.957999999999998
27.37332535,-109.88813020000002,Roya Lineal,0.01,2014,3,19,Ciclo 2013-2014,0.0,27.022,15.821,20.1518,6.41406,133.84401,59.7233,12.031380521572942,11.200999999999999
27.29929733,-110.2115021,Roya Lineal,0.05,2014,2,27,Ciclo 2013-2014,0.0,27.32,13.495,19.1366,8.93045,305.16626,66.5133,12.715020848122151,13.825000000000001
27.40916824,-110.252533,Roya Lineal,0.02,2014,3,12,Ciclo 2013-2014,0.0,29.654,13.369000000000002,19.9413,7.9497399999999985,312.88966,54.8954,10.555679231768849,16.284999999999997
27.04459763,-109.7861404,Roya Lineal,0.01,2014,2,25,Ciclo 2013-2014,0.038,26.14,16.248,20.441,6.91328,302.3625,69.7246,14.693594242375255,9.892
27.05269814,-109.8864517,Roya Lineal,0.05,2014,3,21,Ciclo 2013-2014,0.0,25.799,17.537,21.3403,4.76181,249.99531,59.4296,13.07735097616397,8.262
27.14121056,-109.9330444,Roya Lineal,0.03,2014,2,26,Ciclo 2013-2014,0.135,26.564,16.049,21.1558,12.93296,293.74657,68.7467,15.159072608866794,10.515
